onset,pitch,duration,staff
64.5,60,0.498,0.0
64.5,51,0.498,0.0
65.0,69,0.498,0.0
65.0,81,0.498,0.0
65.0,78,0.498,0.0
65.0,48,0.498,0.0
65.0,60,0.498,0.0
65.0,51,0.498,0.0
65.5,79,0.498,0.0
65.5,70,0.498,0.0
65.5,82,0.498,0.0
65.5,46,0.498,0.0
65.5,58,0.498,0.0
65.5,50,0.498,0.0
66.0,70,0.498,0.0
66.0,82,0.498,0.0
66.0,79,0.498,0.0
66.0,58,0.498,0.0
66.0,46,0.498,0.0
66.0,50,0.498,0.0
66.5,84,0.45,0.0
66.5,72,0.45,0.0
66.5,81,0.45,0.0
66.5,57,0.45,0.0
66.5,45,0.45,0.0
66.5,48,0.45,0.0
67.0,81,0.498,0.0
67.0,84,0.498,0.0
67.0,72,0.498,0.0
67.0,45,0.498,0.0
67.0,57,0.498,0.0
67.0,48,0.498,0.0
67.5,74,0.498,0.0
67.5,86,0.498,0.0
67.5,82,0.498,0.0
67.5,43,0.498,0.0
67.5,55,0.498,0.0
67.5,46,0.498,0.0
68.0,86,0.498,0.0
68.0,74,0.498,0.0
68.0,82,0.498,0.0
68.0,43,0.498,0.0
68.0,46,0.498,0.0
68.0,55,0.498,0.0
68.5,84,0.498,0.0
68.5,87,0.498,0.0
68.5,75,0.498,0.0
68.5,81,0.498,0.0
68.5,42,0.498,0.0
68.5,54,0.498,0.0
69.0,84,0.498,0.0
69.0,87,0.498,0.0
69.0,75,0.498,0.0
69.0,81,0.498,0.0
69.0,42,0.498,0.0
69.0,54,0.498,0.0
69.5,84,0.45,0.0
69.5,87,0.45,0.0
69.5,75,0.45,0.0
69.5,81,0.45,0.0
69.5,42,0.45,0.0
69.5,30,0.45,0.0
70.0,87,1.25,0.0
70.0,81,1.25,0.0
70.0,84,1.25,0.0
70.0,75,1.25,0.0
70.0,30,0.498,0.0
70.0,42,0.498,0.0
70.5,42,0.498,0.0
70.5,54,0.498,0.0
71.0,45,0.75,0.0
71.0,57,0.75,0.0
72.5,87,0.45,0.0
72.5,75,0.45,0.0
72.5,84,0.45,0.0
72.5,81,0.45,0.0
72.5,53,0.45,0.0
72.5,41,0.45,0.0
73.0,84,1.498,0.0
73.0,87,1.498,0.0
73.0,75,1.498,0.0
73.0,81,1.498,0.0
73.0,41,1.498,0.0
73.0,29,1.498,0.0
74.5,53,0.498,0.0
74.5,41,0.498,0.0
75.0,60,0.498,0.0
75.0,48,0.498,0.0
75.5,60,0.45,0.0
75.5,48,0.45,0.0
76.0,63,1.498,0.0
76.0,51,1.498,0.0
77.5,63,0.25,0.0
77.5,51,0.25,0.0
78.0,60,0.25,0.0
78.0,48,0.25,0.0
78.5,58,0.113,0.0
78.5,46,0.113,0.0
79.0,58,0.498,0.0
79.0,46,0.498,0.0
79.5,57,0.498,0.0
79.5,45,0.498,0.0
80.0,57,0.498,0.0
80.0,45,0.498,0.0
80.5,57,0.498,0.0
80.5,45,0.498,0.0
81.0,58,0.498,0.0
81.0,46,0.498,0.0
81.5,60,0.45,0.0
81.5,48,0.45,0.0
82.0,60,0.498,0.0
82.0,48,0.498,0.0
82.5,53,0.5,0.0
82.5,41,0.5,0.0
83.5,51,0.498,0.0
83.5,39,0.498,0.0
84.0,51,0.498,0.0
84.0,39,0.498,0.0
84.5,50,0.45,0.0
84.5,38,0.45,0.0
85.0,48,0.498,0.0
85.0,36,0.498,0.0
85.5,46,0.498,0.0
