onset,pitch,duration,staff
81.5,61,0.246,0.0
82.0,62,0.246,0.0
82.0,57,0.498,0.0
82.0,53,0.498,0.0
82.0,50,0.496,0.0
82.0,38,0.496,0.0
82.5,62,0.246,0.0
83.0,57,0.246,0.0
83.5,61,0.246,0.0
84.0,62,0.496,0.0
84.0,57,0.496,0.0
84.0,53,0.496,0.0
84.0,50,0.496,0.0
84.0,38,0.496,0.0
85.0,65,0.496,0.0
86.0,69,0.496,0.0
87.0,73,0.496,0.0
88.0,86,3.998,0.0
88.0,81,3.998,0.0
88.0,77,3.998,0.0
88.0,74,3.998,0.0
88.0,62,3.998,0.0
88.0,50,3.998,0.0
92.0,36,0.2,0.0
92.0,86,3.998,0.0
92.0,80,3.998,0.0
92.0,77,3.998,0.0
92.0,74,3.998,0.0
92.25,50,0.2,0.0
92.5,36,0.2,0.0
92.75,50,0.2,0.0
93.0,36,0.2,0.0
93.25,50,0.2,0.0
93.5,36,0.2,0.0
93.75,50,0.2,0.0
94.0,36,0.2,0.0
94.25,50,0.2,0.0
94.5,36,0.2,0.0
94.75,50,0.2,0.0
95.0,36,0.248,0.0
95.25,48,0.248,0.0
95.5,35,0.248,0.0
95.75,47,0.248,0.0
96.0,59,2.685,0.0
96.0,86,1.998,0.0
96.0,79,1.998,0.0
96.0,77,1.998,0.0
96.0,74,1.998,0.0
99.0,55,0.748,0.0
99.75,59,0.2,0.0
100.0,62,0.246,0.0
100.5,62,0.246,0.0
101.0,55,0.246,0.0
101.5,59,0.246,0.0
102.0,62,0.246,0.0
102.5,62,0.246,0.0
103.0,55,0.748,0.0
103.0,43,0.748,0.0
103.75,59,0.2,0.0
103.75,47,0.2,0.0
104.0,71,2.998,0.0
104.0,67,2.998,0.0
104.0,65,2.998,0.0
104.0,62,2.998,0.0
104.0,50,2.998,0.0
104.0,38,2.998,0.0
107.0,55,0.748,0.0
107.75,59,0.2,0.0
108.0,62,0.246,0.0
108.5,62,0.246,0.0
109.0,55,0.246,0.0
109.5,59,0.246,0.0
110.0,62,0.246,0.0
110.5,62,0.246,0.0
111.0,59,0.748,0.0
111.0,47,0.748,0.0
111.75,62,0.2,0.0
111.75,50,0.2,0.0
112.0,74,2.998,0.0
112.0,71,2.998,0.0
112.0,67,2.998,0.0
112.0,62,2.998,0.0
112.0,53,2.998,0.0
112.0,41,2.998,0.0
115.0,71,0.748,0.0
115.0,59,0.748,0.0
115.75,74,0.2,0.0
115.75,62,0.2,0.0
116.0,77,0.246,0.0
116.0,65,0.246,0.0
116.5,74,0.246,0.0
116.5,62,0.246,0.0
117.0,71,0.246,0.0
117.0,59,0.246,0.0
117.5,67,0.246,0.0
117.5,55,0.246,0.0
118.0,53,0.246,0.0
118.0,74,0.496,0.0
118.0,71,0.496,0.0
118.0,67,0.496,0.0
118.0,62,0.496,0.0
118.5,50,0.246,0.0
119.0,74,0.496,0.0
119.0,71,0.496,0.0
119.0,67,0.496,0.0
119.0,62,0.496,0.0
119.0,59,0.246,0.0
119.0,47,0.246,0.0
119.5,55,0.246,0.0
119.5,43,0.246,0.0
120.0,76,0.496,0.0
120.0,72,0.496,0.0
120.0,67,0.496,0.0
120.0,64,0.496,0.0
120.0,60,0.496,0.0
120.0,48,0.496,0.0
122.0,81,0.496,0.0
122.0,77,0.496,0.0
